algoritme,score,housecount,climb,swaps
HillClimber,17364930.0,40,6,1
algoritme,score,housecount,climb,swaps
HillClimber,17417370.0,40,9,2
algoritme,score,housecount,climb,swaps
HillClimber,17548770.0,40,17,3
algoritme,score,housecount,climb,swaps
HillClimber,17570145.0,40,22,4
algoritme,score,housecount,climb,swaps
HillClimber,17618025.0,40,31,5
algoritme,score,housecount,climb,swaps
HillClimber,17641965.0,40,32,6
algoritme,score,housecount,climb,swaps
HillClimber,17650515.0,40,35,7
algoritme,score,housecount,climb,swaps
HillClimber,17720640.0,40,41,8
algoritme,score,housecount,climb,swaps
HillClimber,17729190.0,40,55,9
algoritme,score,housecount,climb,swaps
HillClimber,17744415.0,40,56,10
algoritme,score,housecount,climb,swaps
HillClimber,17757240.0,40,68,11
algoritme,score,housecount,climb,swaps
HillClimber,17791440.0,40,88,12
algoritme,score,housecount,climb,swaps
HillClimber,17799990.0,40,98,13
algoritme,score,housecount,climb,swaps
HillClimber,17847870.0,40,103,14
algoritme,score,housecount,climb,swaps
HillClimber,17870670.0,40,104,15
algoritme,score,housecount,climb,swaps
HillClimber,18204330.0,40,107,16
algoritme,score,housecount,climb,swaps
HillClimber,18305220.0,40,115,17
algoritme,score,housecount,climb,swaps
HillClimber,18326595.0,40,116,18
algoritme,score,housecount,climb,swaps
HillClimber,18359895.0,40,119,19
algoritme,score,housecount,climb,swaps
HillClimber,18383835.0,40,125,20
algoritme,score,housecount,climb,swaps
HillClimber,18428295.0,40,129,21
algoritme,score,housecount,climb,swaps
HillClimber,18449670.0,40,135,22
algoritme,score,housecount,climb,swaps
HillClimber,18465630.0,40,142,23
algoritme,score,housecount,climb,swaps
HillClimber,18494805.0,40,156,24
algoritme,score,housecount,climb,swaps
HillClimber,18531405.0,40,165,25
algoritme,score,housecount,climb,swaps
HillClimber,18555345.0,40,173,26
algoritme,score,housecount,climb,swaps
HillClimber,18585555.0,40,174,27
algoritme,score,housecount,climb,swaps
HillClimber,18655950.0,40,176,28
algoritme,score,housecount,climb,swaps
HillClimber,18718080.0,40,180,29
algoritme,score,housecount,climb,swaps
HillClimber,18752280.0,40,183,30
algoritme,score,housecount,climb,swaps
HillClimber,18762540.0,40,187,31
algoritme,score,housecount,climb,swaps
HillClimber,18763740.0,40,193,32
algoritme,score,housecount,climb,swaps
HillClimber,18772290.0,40,199,33
algoritme,score,housecount,climb,swaps
HillClimber,18774285.0,40,202,34
algoritme,score,housecount,climb,swaps
HillClimber,18847485.0,40,228,35
algoritme,score,housecount,climb,swaps
HillClimber,18860310.0,40,231,36
algoritme,score,housecount,climb,swaps
HillClimber,18938190.0,40,237,37
algoritme,score,housecount,climb,swaps
HillClimber,18951810.0,40,245,38
algoritme,score,housecount,climb,swaps
HillClimber,18959790.0,40,266,39
algoritme,score,housecount,climb,swaps
HillClimber,18999690.0,40,300,40
algoritme,score,housecount,climb,swaps
HillClimber,19033890.0,40,309,41
algoritme,score,housecount,climb,swaps
HillClimber,19045590.0,40,327,42
algoritme,score,housecount,climb,swaps
HillClimber,19066965.0,40,336,43
algoritme,score,housecount,climb,swaps
HillClimber,19071240.0,40,339,44
algoritme,score,housecount,climb,swaps
HillClimber,19074945.0,40,352,45
algoritme,score,housecount,climb,swaps
HillClimber,19083495.0,40,354,46
algoritme,score,housecount,climb,swaps
HillClimber,19107435.0,40,403,47
algoritme,score,housecount,climb,swaps
HillClimber,19177755.0,40,435,48
algoritme,score,housecount,climb,swaps
HillClimber,19269255.0,40,480,49
algoritme,score,housecount,climb,swaps
HillClimber,19276665.0,40,482,50
algoritme,score,housecount,climb,swaps
HillClimber,19293765.0,40,495,51
algoritme,score,housecount,climb,swaps
HillClimber,19310295.0,40,513,52
algoritme,score,housecount,climb,swaps
HillClimber,19314570.0,40,516,53
algoritme,score,housecount,climb,swaps
HillClimber,19323120.0,40,520,54
algoritme,score,housecount,climb,swaps
HillClimber,19331670.0,40,522,55
algoritme,score,housecount,climb,swaps
HillClimber,19344495.0,40,526,56
algoritme,score,housecount,climb,swaps
HillClimber,19348770.0,40,541,57
algoritme,score,housecount,climb,swaps
HillClimber,19357320.0,40,544,58
algoritme,score,housecount,climb,swaps
HillClimber,19357890.0,40,545,59
algoritme,score,housecount,climb,swaps
HillClimber,19366440.0,40,558,60
algoritme,score,housecount,climb,swaps
HillClimber,19374420.0,40,600,61
algoritme,score,housecount,climb,swaps
HillClimber,19392720.0,40,651,62
algoritme,score,housecount,climb,swaps
HillClimber,19419795.0,40,652,63
algoritme,score,housecount,climb,swaps
HillClimber,19430115.0,40,686,64
algoritme,score,housecount,climb,swaps
HillClimber,19439235.0,40,702,65
algoritme,score,housecount,climb,swaps
HillClimber,19454055.0,40,706,66
algoritme,score,housecount,climb,swaps
HillClimber,19477995.0,40,712,67
algoritme,score,housecount,climb,swaps
HillClimber,19484835.0,40,719,68
algoritme,score,housecount,climb,swaps
HillClimber,19489110.0,40,721,69
algoritme,score,housecount,climb,swaps
HillClimber,19506210.0,40,725,70
algoritme,score,housecount,climb,swaps
HillClimber,19510485.0,40,740,71
algoritme,score,housecount,climb,swaps
HillClimber,19513050.0,40,756,72
algoritme,score,housecount,climb,swaps
HillClimber,19525875.0,40,764,73
algoritme,score,housecount,climb,swaps
HillClimber,19558650.0,40,798,74
algoritme,score,housecount,climb,swaps
HillClimber,19707810.0,40,801,75
algoritme,score,housecount,climb,swaps
HillClimber,19733460.0,40,809,76
algoritme,score,housecount,climb,swaps
HillClimber,19741440.0,40,837,77
algoritme,score,housecount,climb,swaps
HillClimber,19765380.0,40,851,78
algoritme,score,housecount,climb,swaps
HillClimber,19778205.0,40,875,79
algoritme,score,housecount,climb,swaps
HillClimber,19794165.0,40,907,80
algoritme,score,housecount,climb,swaps
HillClimber,19811265.0,40,974,81
algoritme,score,housecount,climb,swaps
HillClimber,19829565.0,40,979,82
