algoritme,score,housecount,climb,swaps
HillClimber,24171060.0,60,2,1
algoritme,score,housecount,climb,swaps
HillClimber,24189360.0,60,9,2
algoritme,score,housecount,climb,swaps
HillClimber,24229260.0,60,14,3
algoritme,score,housecount,climb,swaps
HillClimber,24257475.0,60,23,4
algoritme,score,housecount,climb,swaps
HillClimber,24258045.0,60,32,5
algoritme,score,housecount,climb,swaps
HillClimber,24291960.0,60,36,6
algoritme,score,housecount,climb,swaps
HillClimber,24324105.0,60,37,7
algoritme,score,housecount,climb,swaps
HillClimber,24332655.0,60,39,8
algoritme,score,housecount,climb,swaps
HillClimber,24345480.0,60,58,9
algoritme,score,housecount,climb,swaps
HillClimber,24381105.0,60,68,10
algoritme,score,housecount,climb,swaps
HillClimber,24398205.0,60,70,11
algoritme,score,housecount,climb,swaps
HillClimber,24416730.0,60,74,12
algoritme,score,housecount,climb,swaps
HillClimber,24463755.0,60,79,13
algoritme,score,housecount,climb,swaps
HillClimber,24479715.0,60,81,14
algoritme,score,housecount,climb,swaps
HillClimber,24509925.0,60,101,15
algoritme,score,housecount,climb,swaps
HillClimber,24527025.0,60,102,16
algoritme,score,housecount,climb,swaps
HillClimber,24548400.0,60,105,17
algoritme,score,housecount,climb,swaps
HillClimber,24569775.0,60,114,18
algoritme,score,housecount,climb,swaps
HillClimber,24577755.0,60,115,19
algoritme,score,housecount,climb,swaps
HillClimber,24633615.0,60,117,20
algoritme,score,housecount,climb,swaps
HillClimber,24637320.0,60,118,21
algoritme,score,housecount,climb,swaps
HillClimber,24639030.0,60,157,22
algoritme,score,housecount,climb,swaps
HillClimber,24654990.0,60,158,23
algoritme,score,housecount,climb,swaps
HillClimber,24672090.0,60,159,24
algoritme,score,housecount,climb,swaps
HillClimber,24706290.0,60,161,25
algoritme,score,housecount,climb,swaps
HillClimber,24714840.0,60,165,26
algoritme,score,housecount,climb,swaps
HillClimber,24738780.0,60,181,27
algoritme,score,housecount,climb,swaps
HillClimber,24739350.0,60,185,28
algoritme,score,housecount,climb,swaps
HillClimber,24796635.0,60,203,29
algoritme,score,housecount,climb,swaps
HillClimber,24809460.0,60,224,30
algoritme,score,housecount,climb,swaps
HillClimber,24822000.0,60,225,31
algoritme,score,housecount,climb,swaps
HillClimber,24826275.0,60,237,32
algoritme,score,housecount,climb,swaps
HillClimber,24836595.0,60,244,33
