algoritme,score,housecount,climb,swaps
HillClimber,23935065.0,60,1,1
algoritme,score,housecount,climb,swaps
HillClimber,23935065.0,60,2,2
algoritme,score,housecount,climb,swaps
HillClimber,23935065.0,60,3,3
algoritme,score,housecount,climb,swaps
HillClimber,23935065.0,60,4,4
algoritme,score,housecount,climb,swaps
HillClimber,23935065.0,60,5,5
algoritme,score,housecount,climb,swaps
HillClimber,23960715.0,60,6,6
algoritme,score,housecount,climb,swaps
HillClimber,23960715.0,60,7,7
algoritme,score,housecount,climb,swaps
HillClimber,23960715.0,60,8,8
algoritme,score,housecount,climb,swaps
HillClimber,23960715.0,60,9,9
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,10,10
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,11,11
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,13,12
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,15,13
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,16,14
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,17,15
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,18,16
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,19,17
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,20,18
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,21,19
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,22,20
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,23,21
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,25,22
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,26,23
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,27,24
algoritme,score,housecount,climb,swaps
HillClimber,23968695.0,60,29,25
algoritme,score,housecount,climb,swaps
HillClimber,23981520.0,60,30,26
algoritme,score,housecount,climb,swaps
HillClimber,23981520.0,60,31,27
algoritme,score,housecount,climb,swaps
HillClimber,23981520.0,60,32,28
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,34,29
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,35,30
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,37,31
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,38,32
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,39,33
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,40,34
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,42,35
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,44,36
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,45,37
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,46,38
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,47,39
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,48,40
algoritme,score,housecount,climb,swaps
HillClimber,24023595.0,60,49,41
algoritme,score,housecount,climb,swaps
HillClimber,24056940.0,60,50,42
algoritme,score,housecount,climb,swaps
HillClimber,24056940.0,60,53,43
algoritme,score,housecount,climb,swaps
HillClimber,24056940.0,60,55,44
algoritme,score,housecount,climb,swaps
HillClimber,24056940.0,60,56,45
algoritme,score,housecount,climb,swaps
HillClimber,24056940.0,60,57,46
algoritme,score,housecount,climb,swaps
HillClimber,24064920.0,60,59,47
algoritme,score,housecount,climb,swaps
HillClimber,24064920.0,60,60,48
algoritme,score,housecount,climb,swaps
HillClimber,24064920.0,60,61,49
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,62,50
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,63,51
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,64,52
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,65,53
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,66,54
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,67,55
algoritme,score,housecount,climb,swaps
HillClimber,24075465.0,60,68,56
algoritme,score,housecount,climb,swaps
HillClimber,24166965.0,60,69,57
algoritme,score,housecount,climb,swaps
HillClimber,24166965.0,60,70,58
algoritme,score,housecount,climb,swaps
HillClimber,24166965.0,60,72,59
algoritme,score,housecount,climb,swaps
HillClimber,24166965.0,60,73,60
algoritme,score,housecount,climb,swaps
HillClimber,24166965.0,60,75,61
algoritme,score,housecount,climb,swaps
HillClimber,24196890.0,60,76,62
algoritme,score,housecount,climb,swaps
HillClimber,24196890.0,60,77,63
algoritme,score,housecount,climb,swaps
HillClimber,24196890.0,60,78,64
algoritme,score,housecount,climb,swaps
HillClimber,24196890.0,60,80,65
algoritme,score,housecount,climb,swaps
HillClimber,24196890.0,60,82,66
algoritme,score,housecount,climb,swaps
HillClimber,24196890.0,60,83,67
algoritme,score,housecount,climb,swaps
HillClimber,24228810.0,60,84,68
algoritme,score,housecount,climb,swaps
HillClimber,24228810.0,60,85,69
algoritme,score,housecount,climb,swaps
HillClimber,24228810.0,60,86,70
algoritme,score,housecount,climb,swaps
HillClimber,24228810.0,60,87,71
algoritme,score,housecount,climb,swaps
HillClimber,24228810.0,60,88,72
algoritme,score,housecount,climb,swaps
