algoritme;score;housecount
Random;11644050;20
Random;14039340;20
Random;14142660;20
Random;11777250;20
Random;12231960;20
Random;12563400;20
Random;12782430;20
Random;11839830;20
Random;11005110;20
Random;14369400;20
Random;12262980;20
Random;14665830;20
Random;13949250;20
Random;14876400;20
Random;13381410;20
Random;11329230;20
Random;12697110;20
Random;12725070;20
Random;13496790;20
Random;13981320;20
Random;11170080;20
Random;14163780;20
Random;12759300;20
Random;11067320;20
Random;13202340;20
Random;12444300;20
Random;14312220;20
Random;13733730;20
Random;11917530;20
Random;15740280;20
Random;12960570;20
Random;12585630;20
Random;14712540;20
Random;9361480;20
Random;12970860;20
Random;12042630;20
Random;12281910;20
Random;12129330;20
Random;14827740;20
Random;12913110;20
Random;12275910;20
Random;13912260;20
Random;12613560;20
Random;14477970;20
Random;14735520;20
Random;13008150;20
Random;12694500;20
Random;11388090;20
Random;12411540;20
Random;14562690;20
Random;14594550;20
Random;12272460;20
Random;12062910;20
Random;13245140;20
Random;14037960;20
Random;10846530;20
Random;13274010;20
Random;14203170;20
Random;13600530;20
Random;14741850;20
Random;13912740;20
Random;13030740;20
Random;11030190;20
Random;14650440;20
Random;12830040;20
Random;11296140;20
Random;12979320;20
Random;13756500;20
Random;12704190;20
Random;14854020;20
Random;11980890;20
Random;14727990;20
Random;11469390;20
Random;13352040;20
Random;14680170;20
Random;15734700;20
Random;14037210;20
Random;12423330;20
Random;12127200;20
Random;14154900;20
Random;13697640;20
Random;13351350;20
Random;9974600;20
Random;13365270;20
Random;12118260;20
Random;12571860;20
Random;13841850;20
Random;14554710;20
Random;16289370;20
Random;13345050;20
Random;15253470;20
Random;12610320;20
Random;12125910;20
Random;12326970;20
Random;11173410;20
Random;15325140;20
Random;13119210;20
Random;11227890;20
Random;12128070;20
Random;12923460;20
