algoritme;score;housecount
Random;11689440;20
Random;11855700;20
Random;11237400;20
Random;12710370;20
Random;11877420;20
Random;16849080;20
Random;12676890;20
Random;11413140;20
Random;13902780;20
Random;11627210;20
Random;11747610;20
Random;14969250;20
Random;12566040;20
Random;13292850;20
Random;15008490;20
Random;12854280;20
Random;14352810;20
Random;12010860;20
Random;12136800;20
Random;11984340;20
Random;12853200;20
Random;16073610;20
Random;12570150;20
Random;12415590;20
Random;13140750;20
Random;13396920;20
Random;12185880;20
Random;14023860;20
Random;11706090;20
Random;13017060;20
Random;14832810;20
Random;10611960;20
Random;13890540;20
Random;12333180;20
Random;13319880;20
Random;14446680;20
Random;13205880;20
Random;11040060;20
Random;13310100;20
Random;12796170;20
Random;11171460;20
Random;10373280;20
Random;13272270;20
Random;11748630;20
Random;12917250;20
Random;16094940;20
Random;16627080;20
Random;12805710;20
Random;14607150;20
Random;14021880;20
Random;12246000;20
Random;13858440;20
Random;9593510;20
Random;11956800;20
Random;13116030;20
Random;12314910;20
Random;14911860;20
Random;12751470;20
Random;13202970;20
Random;12905820;20
Random;12240510;20
Random;14917020;20
Random;13266210;20
Random;12283260;20
Random;12643740;20
Random;13107120;20
Random;12842910;20
Random;12998310;20
Random;13106820;20
Random;14651910;20
Random;12377370;20
Random;12207750;20
Random;13768080;20
Random;11583150;20
Random;13995300;20
Random;12183570;20
Random;12633840;20
Random;15142170;20
Random;12646920;20
Random;15781020;20
Random;12482190;20
Random;13853280;20
Random;12030750;20
Random;11862870;20
Random;13533900;20
Random;11280740;20
Random;11787600;20
Random;13738680;20
Random;14945820;20
Random;12319710;20
Random;13917180;20
Random;12273150;20
Random;14209500;20
Random;10690170;20
Random;13789440;20
Random;13151370;20
Random;12179070;20
Random;12124020;20
Random;11057790;20
Random;12734010;20
