sep = ,
algoritme,score,housecount
Random,22868010.0,40
algoritme,score,housecount
Random,20189430.0,40
algoritme,score,housecount
Random,20933820.0,40
algoritme,score,housecount
Random,21625890.0,40
algoritme,score,housecount
Random,19844370.0,40
algoritme,score,housecount
Random,23563530.0,40
algoritme,score,housecount
Random,22536630.0,40
algoritme,score,housecount
Random,20628420.0,40
algoritme,score,housecount
Random,19374800.0,40
algoritme,score,housecount
Random,23399190.0,40
algoritme,score,housecount
Random,21921690.0,40
algoritme,score,housecount
Random,21058920.0,40
algoritme,score,housecount
Random,21846330.0,40
algoritme,score,housecount
Random,21528450.0,40
algoritme,score,housecount
Random,23201880.0,40
algoritme,score,housecount
Random,19860330.0,40
algoritme,score,housecount
Random,23093820.0,40
algoritme,score,housecount
Random,18519690.0,40
algoritme,score,housecount
Random,21329280.0,40
algoritme,score,housecount
Random,19346600.0,40
algoritme,score,housecount
Random,20454870.0,40
algoritme,score,housecount
Random,22090290.0,40
algoritme,score,housecount
Random,20722770.0,40
algoritme,score,housecount
Random,20273940.0,40
algoritme,score,housecount
Random,21497160.0,40
algoritme,score,housecount
Random,21634650.0,40
algoritme,score,housecount
Random,19542720.0,40
algoritme,score,housecount
Random,23655840.0,40
algoritme,score,housecount
Random,21315240.0,40
algoritme,score,housecount
Random,20769000.0,40
algoritme,score,housecount
Random,20840370.0,40
algoritme,score,housecount
Random,20006130.0,40
algoritme,score,housecount
Random,22654350.0,40
algoritme,score,housecount
Random,21680460.0,40
algoritme,score,housecount
Random,19712160.0,40
algoritme,score,housecount
Random,20754240.0,40
algoritme,score,housecount
Random,21406170.0,40
algoritme,score,housecount
Random,20428350.0,40
algoritme,score,housecount
Random,20768850.0,40
algoritme,score,housecount
Random,21044280.0,40
algoritme,score,housecount
Random,21518040.0,40
algoritme,score,housecount
Random,21385380.0,40
algoritme,score,housecount
Random,24509370.0,40
algoritme,score,housecount
Random,20318400.0,40
algoritme,score,housecount
Random,19896180.0,40
algoritme,score,housecount
Random,21824520.0,40
algoritme,score,housecount
Random,22304760.0,40
algoritme,score,housecount
Random,21993990.0,40
algoritme,score,housecount
Random,22200540.0,40
algoritme,score,housecount
Random,18990930.0,40
algoritme,score,housecount
Random,23521350.0,40
algoritme,score,housecount
Random,22682160.0,40
algoritme,score,housecount
Random,19478040.0,40
algoritme,score,housecount
Random,22505040.0,40
algoritme,score,housecount
Random,20717220.0,40
algoritme,score,housecount
Random,19614210.0,40
algoritme,score,housecount
Random,20805450.0,40
algoritme,score,housecount
Random,20908410.0,40
algoritme,score,housecount
Random,21676590.0,40
algoritme,score,housecount
Random,25435170.0,40
algoritme,score,housecount
Random,19954920.0,40
algoritme,score,housecount
Random,21599790.0,40
algoritme,score,housecount
Random,20042280.0,40
algoritme,score,housecount
Random,20679960.0,40
algoritme,score,housecount
Random,21853710.0,40
algoritme,score,housecount
Random,22070970.0,40
algoritme,score,housecount
Random,20996340.0,40
algoritme,score,housecount
Random,23447100.0,40
algoritme,score,housecount
Random,19548990.0,40
algoritme,score,housecount
Random,20907990.0,40
algoritme,score,housecount
Random,22000920.0,40
algoritme,score,housecount
Random,21022260.0,40
algoritme,score,housecount
Random,21803340.0,40
algoritme,score,housecount
Random,20165010.0,40
algoritme,score,housecount
Random,20544360.0,40
algoritme,score,housecount
Random,21860490.0,40
algoritme,score,housecount
Random,20657940.0,40
algoritme,score,housecount
Random,21372570.0,40
algoritme,score,housecount
Random,23618460.0,40
algoritme,score,housecount
Random,22475640.0,40
algoritme,score,housecount
Random,21552780.0,40
algoritme,score,housecount
Random,20407380.0,40
algoritme,score,housecount
Random,22038720.0,40
algoritme,score,housecount
Random,21554190.0,40
algoritme,score,housecount
Random,21985650.0,40
algoritme,score,housecount
Random,20167020.0,40
algoritme,score,housecount
Random,19673730.0,40
algoritme,score,housecount
Random,19899450.0,40
algoritme,score,housecount
Random,22631790.0,40
algoritme,score,housecount
Random,22343510.0,40
algoritme,score,housecount
Random,21779790.0,40
algoritme,score,housecount
Random,19627800.0,40
algoritme,score,housecount
Random,20787960.0,40
algoritme,score,housecount
Random,20987910.0,40
algoritme,score,housecount
Random,20366010.0,40
algoritme,score,housecount
Random,20079480.0,40
algoritme,score,housecount
Random,24713040.0,40
algoritme,score,housecount
Random,19376010.0,40
algoritme,score,housecount
Random,20713620.0,40
algoritme,score,housecount
Random,21568950.0,40
