algoritme,score,housecount,climb,swaps,change
HillClimber,17819310.0,40,5,1,1
algoritme,score,housecount,climb,swaps,change
HillClimber,17911215.0,40,15,2,2
algoritme,score,housecount,climb,swaps,change
HillClimber,17927175.0,40,25,3,1
algoritme,score,housecount,climb,swaps,change
HillClimber,17931450.0,40,60,4,3
algoritme,score,housecount,climb,swaps,change
HillClimber,17961375.0,40,62,5,2
algoritme,score,housecount,climb,swaps,change
HillClimber,17987025.0,40,67,6,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18103500.0,40,91,7,3
algoritme,score,housecount,climb,swaps,change
HillClimber,18128475.0,40,95,8,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18379860.0,40,101,9,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18408075.0,40,122,10,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18436815.0,40,144,11,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18452775.0,40,145,12,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18465315.0,40,146,13,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18488400.0,40,159,14,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18504360.0,40,171,15,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18538560.0,40,190,16,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18594705.0,40,191,17,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18603255.0,40,227,18,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18630960.0,40,265,19,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18635235.0,40,266,20,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18680385.0,40,272,21,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18733020.0,40,288,22,1
algoritme,score,housecount,climb,swaps,change
HillClimber,18836220.0,40,289,23,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18846540.0,40,324,24,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18850815.0,40,334,25,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18863640.0,40,335,26,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18943440.0,40,349,27,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18947715.0,40,363,28,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18978675.0,40,378,29,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18982950.0,40,388,30,2
algoritme,score,housecount,climb,swaps,change
HillClimber,18990930.0,40,399,31,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19039950.0,40,417,32,1
algoritme,score,housecount,climb,swaps,change
HillClimber,19107210.0,40,429,33,1
algoritme,score,housecount,climb,swaps,change
HillClimber,19127850.0,40,430,34,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19135830.0,40,432,35,3
algoritme,score,housecount,climb,swaps,change
HillClimber,19143810.0,40,445,36,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19151790.0,40,446,37,3
algoritme,score,housecount,climb,swaps,change
HillClimber,19206690.0,40,467,38,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19262550.0,40,513,39,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19266825.0,40,547,40,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19298745.0,40,555,41,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19311570.0,40,563,42,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19394130.0,40,564,43,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19437750.0,40,588,44,1
algoritme,score,housecount,climb,swaps,change
HillClimber,19488195.0,40,595,45,1
algoritme,score,housecount,climb,swaps,change
HillClimber,19492470.0,40,596,46,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19497030.0,40,606,47,1
algoritme,score,housecount,climb,swaps,change
HillClimber,19527030.0,40,615,48,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19535580.0,40,621,49,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19548405.0,40,622,50,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19556955.0,40,633,51,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19580895.0,40,652,52,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19588305.0,40,658,53,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19609905.0,40,699,54,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19618455.0,40,704,55,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19655790.0,40,740,56,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19677165.0,40,790,57,3
algoritme,score,housecount,climb,swaps,change
HillClimber,19695465.0,40,791,58,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19710285.0,40,826,59,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19714560.0,40,858,60,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19728585.0,40,860,61,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19755660.0,40,903,62,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19796940.0,40,904,63,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19808055.0,40,909,64,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19816035.0,40,982,65,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19833375.0,40,1009,66,1
algoritme,score,housecount,climb,swaps,change
HillClimber,19841925.0,40,1023,67,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19860225.0,40,1025,68,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19878525.0,40,1031,69,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19896825.0,40,1048,70,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19901100.0,40,1059,71,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19968645.0,40,1113,72,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19972920.0,40,1127,73,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19990020.0,40,1182,74,2
algoritme,score,housecount,climb,swaps,change
HillClimber,19998000.0,40,1183,75,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20016300.0,40,1198,76,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20020005.0,40,1298,77,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20041380.0,40,1348,78,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20065320.0,40,1352,79,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20078145.0,40,1355,80,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20092965.0,40,1411,81,1
algoritme,score,housecount,climb,swaps,change
HillClimber,20106990.0,40,1421,82,3
algoritme,score,housecount,climb,swaps,change
HillClimber,20119815.0,40,1439,83,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20127795.0,40,1522,84,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20132070.0,40,1546,85,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20157720.0,40,1599,86,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20165700.0,40,1686,87,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20174250.0,40,1692,88,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20186505.0,40,1719,89,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20190780.0,40,1740,90,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20194485.0,40,1748,91,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20217120.0,40,1749,92,1
algoritme,score,housecount,climb,swaps,change
HillClimber,20238495.0,40,1811,93,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20242770.0,40,1824,94,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20259300.0,40,1851,95,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20263575.0,40,1920,96,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20267850.0,40,1925,97,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20284950.0,40,1947,98,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20308890.0,40,1971,99,2
algoritme,score,housecount,climb,swaps,change
HillClimber,20330265.0,40,1985,100,2
