algoritme;score;housecount;water
Random;15651285.0;40;[[1, 289, 129, 109]]
Random;15674190.0;40;[[208, 305, 288, 17]]
Random;15755490.0;40;[[109, 142, 281, 16], [15, 260, 34, 188]]
Random;15791010.0;40;[[74, 291, 232, 154], [309, 248, 350, 214]]
Random;15796935.0;40;[[46, 297, 216, 176], [100, 161, 126, 66]]
Random;15834480.0;40;[[4, 174, 82, 122], [100, 146, 268, 33]]
Random;15846870.0;40;[[146, 140, 326, 12]]
Random;15855000.0;40;[[115, 253, 295, 125]]
Random;15859005.0;40;[[76, 167, 316, 71]]
Random;15863625.0;40;[[291, 279, 345, 113], [69, 223, 276, 155]]
Random;15876390.0;40;[[112, 177, 278, 63], [260, 261, 344, 212]]
Random;15880980.0;40;[[228, 293, 318, 37]]
Random;15886665.0;40;[[169, 295, 329, 151]]
Random;15894210.0;40;[[43, 291, 111, 262], [169, 211, 339, 129], [43, 64, 205, 20]]
Random;15895215.0;40;[[163, 154, 343, 26]]
Random;15900945.0;40;[[134, 243, 254, 51]]
Random;15909690.0;40;[[155, 320, 347, 200]]
Random;15914235.0;40;[[299, 118, 338, 42], [146, 290, 283, 168], [83, 75, 165, 34]]
Random;15920220.0;40;[[88, 90, 184, 24], [49, 298, 223, 202]]
Random;15931125.0;40;[[86, 307, 278, 187]]
Random;15932760.0;40;[[23, 265, 167, 105]]
Random;15935835.0;40;[[192, 299, 336, 139]]
Random;15940125.0;40;[[27, 304, 136, 228], [248, 302, 326, 144], [99, 88, 163, 50]]
Random;15944190.0;40;[[230, 290, 320, 34]]
Random;15946260.0;40;[[51, 296, 243, 176]]
Random;15946590.0;40;[[144, 120, 320, 15], [282, 244, 312, 230], [29, 106, 47, 44], [40, 306, 96, 252]]
Random;15952425.0;40;[[14, 285, 142, 105]]
Random;15953970.0;40;[[227, 303, 307, 15]]
Random;15959205.0;40;[[135, 294, 290, 156], [217, 102, 247, 47]]
Random;15962940.0;40;[[9, 266, 92, 209], [237, 53, 280, 1], [175, 209, 222, 58], [81, 179, 169, 77]]
Random;15968445.0;40;[[279, 161, 320, 10], [62, 176, 265, 93]]
Random;15971235.0;40;[[0, 303, 160, 159]]
Random;15973305.0;40;[[108, 310, 268, 180], [73, 205, 104, 167], [4, 140, 63, 122]]
Random;15974295.0;40;[[162, 261, 342, 133]]
Random;15974685.0;40;[[109, 307, 224, 229], [0, 141, 129, 106], [227, 295, 292, 148]]
Random;15977670.0;40;[[30, 313, 148, 260], [39, 164, 148, 10]]
Random;15979530.0;40;[[90, 229, 270, 101]]
Random;15984240.0;40;[[17, 240, 137, 92], [35, 299, 131, 244]]
Random;15986145.0;40;[[148, 144, 242, 49], [179, 310, 345, 225]]
Random;15986820.0;40;[[95, 160, 255, 16]]
Random;15988515.0;40;[[55, 170, 295, 74]]
Random;15989325.0;40;[[184, 268, 292, 113], [124, 100, 208, 25]]
Random;16000680.0;40;[[173, 320, 239, 125], [34, 316, 147, 226]]
Random;16001235.0;40;[[74, 102, 314, 6]]
Random;16004385.0;40;[[128, 233, 326, 121], [63, 242, 99, 218]]
Random;16006380.0;40;[[217, 212, 345, 32]]
Random;16013325.0;40;[[14, 206, 142, 26]]
Random;16014255.0;40;[[242, 315, 322, 27]]
Random;16015485.0;40;[[69, 257, 165, 17]]
Random;16018650.0;40;[[67, 104, 355, 24]]
Random;16019910.0;40;[[265, 271, 345, 209], [210, 164, 323, 4]]
Random;16020810.0;40;[[154, 79, 175, 36], [13, 177, 154, 20]]
Random;16023960.0;40;[[22, 274, 150, 94]]
Random;16024275.0;40;[[8, 146, 79, 3], [23, 306, 214, 248], [277, 270, 310, 216], [208, 15, 217, 12]]
Random;16025400.0;40;[[9, 248, 189, 120]]
Random;16027620.0;40;[[129, 208, 217, 64], [117, 313, 225, 217]]
Random;16028160.0;40;[[155, 291, 275, 99]]
Random;16030080.0;40;[[42, 188, 202, 53], [75, 301, 105, 253]]
Random;16033215.0;40;[[163, 319, 314, 179], [75, 296, 125, 258]]
Random;16033500.0;40;[[73, 273, 201, 93]]
Random;16034700.0;40;[[227, 224, 261, 150], [134, 184, 169, 124], [203, 308, 261, 257], [24, 303, 98, 94]]
Random;16037370.0;40;[[27, 277, 155, 97]]
Random;16037730.0;40;[[107, 175, 299, 55]]
Random;16038450.0;40;[[19, 281, 163, 121]]
Random;16041510.0;40;[[57, 313, 177, 151], [75, 51, 175, 15]]
Random;16044630.0;40;[[148, 243, 304, 194], [91, 94, 319, 27], [342, 199, 352, 187]]
Random;16045125.0;40;[[104, 292, 354, 204], [0, 240, 52, 220]]
Random;16047120.0;40;[[145, 142, 337, 22]]
Random;16047915.0;40;[[207, 320, 335, 140]]
Random;16048530.0;40;[[17, 143, 77, 74], [169, 276, 319, 150]]
Random;16050030.0;40;[[154, 161, 334, 33]]
Random;16050825.0;40;[[188, 283, 332, 123]]
Random;16055805.0;40;[[71, 309, 327, 219]]
Random;16057515.0;40;[[233, 229, 338, 196], [80, 266, 225, 131]]
Random;16057800.0;40;[[129, 288, 257, 108]]
Random;16058985.0;40;[[52, 248, 172, 56]]
Random;16059270.0;40;[[188, 297, 350, 156], [58, 227, 80, 218]]
Random;16060005.0;40;[[31, 202, 175, 42]]
Random;16060680.0;40;[[105, 181, 324, 90], [243, 293, 263, 234], [82, 289, 104, 236], [36, 238, 81, 221]]
Random;16061265.0;40;[[267, 304, 339, 204], [8, 169, 107, 9]]
Random;16062015.0;40;[[184, 203, 339, 77], [40, 231, 70, 114]]
Random;16063710.0;40;[[91, 279, 331, 183]]
Random;16065225.0;40;[[32, 248, 192, 104]]
Random;16067535.0;40;[[94, 295, 238, 135]]
Random;16070535.0;40;[[71, 191, 359, 111]]
Random;16071795.0;40;[[154, 317, 274, 125]]
Random;16073025.0;40;[[48, 296, 208, 152]]
Random;16073595.0;40;[[2, 310, 146, 150]]
Random;16074915.0;40;[[68, 277, 196, 97]]
Random;16074915.0;40;[[56, 253, 227, 174], [20, 54, 25, 43], [17, 164, 109, 61]]
Random;16076985.0;40;[[40, 224, 184, 64]]
Random;16078650.0;40;[[131, 240, 323, 120]]
Random;16082535.0;40;[[25, 102, 52, 7], [84, 286, 259, 169]]
Random;16083330.0;40;[[269, 237, 359, 155], [12, 224, 157, 116]]
Random;16085640.0;40;[[236, 301, 346, 157], [23, 286, 113, 206]]
Random;16085925.0;40;[[197, 96, 297, 46], [164, 298, 328, 188]]
Random;16086705.0;40;[[72, 261, 232, 117]]
Random;16092255.0;40;[[107, 164, 229, 80], [78, 65, 284, 13], [62, 215, 94, 150]]
Random;16092540.0;40;[[226, 158, 322, 23], [120, 319, 280, 256]]
Random;16092720.0;40;[[216, 313, 264, 198], [92, 298, 165, 58]]
Random;16094175.0;40;[[108, 273, 228, 81]]
Random;16094925.0;40;[[17, 317, 177, 173]]
Random;16096305.0;40;[[230, 247, 322, 158], [68, 287, 216, 225], [125, 64, 254, 20]]
Random;16096770.0;40;[[98, 248, 218, 56]]
Random;16097475.0;40;[[26, 204, 206, 76]]
Random;16098225.0;40;[[140, 303, 294, 212], [180, 174, 241, 140], [266, 151, 276, 142], [302, 199, 349, 53]]
Random;16101075.0;40;[[151, 51, 178, 30], [72, 313, 299, 214]]
Random;16101315.0;40;[[7, 157, 167, 13]]
Random;16102575.0;40;[[182, 208, 236, 42], [84, 185, 182, 93], [273, 305, 317, 190]]
Random;16105710.0;40;[[62, 315, 318, 225]]
Random;16105755.0;40;[[50, 136, 124, 94], [197, 318, 297, 141], [333, 160, 353, 154], [52, 236, 140, 212]]
Random;16105830.0;40;[[138, 286, 266, 106]]
Random;16105890.0;40;[[116, 281, 244, 101]]
Random;16106130.0;40;[[28, 272, 316, 192]]
Random;16106625.0;40;[[114, 204, 258, 44]]
Random;16107480.0;40;[[224, 263, 320, 23]]
Random;16108215.0;40;[[271, 29, 276, 19], [112, 254, 234, 104], [255, 236, 322, 166]]
Random;16109220.0;40;[[206, 235, 350, 75]]
Random;16112445.0;40;[[235, 281, 315, 101], [56, 242, 191, 178]]
Random;16113660.0;40;[[17, 314, 161, 154]]
Random;16114500.0;40;[[24, 198, 40, 186], [8, 114, 62, 88], [142, 301, 284, 165], [124, 72, 165, 20]]
