algoritme;60 BMS;housecount;;algoritme;60 MBS;housecount;;algoritme;60 SMB;housecount
Random;30599490;60;;Random;29243280;60;;Random;26597250;60
Random;29981190;60;;Random;28760910;60;;Random;27676680;60
Random;27495000;60;;Random;28476960;60;;Random;32691930;60
Random;29249190;60;;Random;28422660;60;;Random;26789970;60
Random;29950290;60;;Random;28470420;60;;Random;28139340;60
Random;29611470;60;;Random;27438360;60;;Random;29082840;60
Random;26657130;60;;Random;27856500;60;;Random;26416170;60
Random;28513650;60;;Random;29548350;60;;Random;29549730;60
Random;27237630;60;;Random;27049560;60;;Random;28228710;60
Random;27196230;60;;Random;27067770;60;;Random;26962830;60
Random;28980450;60;;Random;28855890;60;;Random;27693900;60
Random;28547580;60;;Random;28944390;60;;Random;31432080;60
Random;28865820;60;;Random;26490330;60;;Random;27299730;60
Random;26712360;60;;Random;27719220;60;;Random;27594990;60
Random;27328140;60;;Random;28978110;60;;Random;27511680;60
Random;28429140;60;;Random;27280380;60;;Random;26706270;60
Random;28647600;60;;Random;29550360;60;;Random;27385200;60
Random;27291360;60;;Random;33533760;60;;Random;29281860;60
Random;28767900;60;;Random;29206650;60;;Random;27042960;60
Random;28460400;60;;Random;29834490;60;;Random;27757320;60
Random;27921780;60;;Random;29407890;60;;Random;26192640;60
Random;28183530;60;;Random;27872580;60;;Random;30229170;60
Random;29658000;60;;Random;28014480;60;;Random;26070200;60
Random;28027500;60;;Random;30916740;60;;Random;29352750;60
Random;29021940;60;;Random;28663680;60;;Random;27318540;60
Random;28803060;60;;Random;27985530;60;;Random;27495330;60
Random;28540350;60;;Random;33909570;60;;Random;29029740;60
Random;27398460;60;;Random;32459610;60;;Random;27735180;60
Random;29011770;60;;Random;27170070;60;;Random;29302020;60
Random;31954440;60;;Random;29889690;60;;Random;27709320;60
Random;27890730;60;;Random;28779810;60;;Random;28196610;60
Random;30544320;60;;Random;28680870;60;;Random;27161220;60
Random;28683750;60;;Random;31476420;60;;Random;28266120;60
Random;30544440;60;;Random;28668570;60;;Random;27174240;60
Random;32087910;60;;Random;32610750;60;;Random;28522560;60
Random;29406420;60;;Random;28535220;60;;Random;28749030;60
Random;27730500;60;;Random;28389570;60;;Random;29490330;60
Random;29232270;60;;Random;29131320;60;;Random;30563580;60
Random;30504030;60;;Random;28976160;60;;Random;27889110;60
Random;27356550;60;;Random;27632970;60;;Random;27640470;60
Random;29182020;60;;Random;29638350;60;;Random;27634080;60
Random;31115430;60;;Random;28008000;60;;Random;28749270;60
Random;28567530;60;;Random;26875980;60;;Random;27541770;60
Random;27363510;60;;Random;27946590;60;;Random;27115320;60
Random;27340140;60;;Random;28658790;60;;Random;27685770;60
Random;28251450;60;;Random;28816140;60;;Random;29411730;60
Random;33504960;60;;Random;28185030;60;;Random;28518120;60
Random;28333230;60;;Random;31528800;60;;Random;29494500;60
Random;27320280;60;;Random;29247930;60;;Random;28475100;60
Random;27599610;60;;Random;28139400;60;;Random;27644490;60
Random;27697680;60;;Random;27392640;60;;Random;27430530;60
