algoritme;score;housecount;climb;swaps
1;23902365;60;4;1
2;23922885;60;10;2
3;24021060;60;11;3
4;24016785;60;15;4
5;24123660;60;5;1
6;24107700;60;18;2
7;24147600;60;13;1
8;24163560;60;4;1
9;24159285;60;12;2
10;24163560;60;13;3
11;24173820;60;17;4
12;24192120;60;1;1
13;24212640;60;13;2
14;24216915;60;14;3
15;24232875;60;19;4
16;24274950;60;3;1
17;24243030;60;4;2
18;24268680;60;11;3
19;24276660;60;7;1
20;24263835;60;13;2
21;24255855;60;1;1
22;24295755;60;3;2
23;24323805;60;4;3
24;24332355;60;5;4
25;24340335;60;15;5
26;24324375;60;1;1
27;24320895;60;7;2
28;24304935;60;14;3
29;24273015;60;1;1
30;24269310;60;3;2
31;24255630;60;12;3
32;24267315;60;16;4
33;24279000;60;17;5
34;24269640;60;18;6
35;24258360;60;2;1
36;24278025;60;14;2
37;24286575;60;14;1
38;24308235;60;1;1
39;24289935;60;9;2
40;24300255;60;12;3
41;24308805;60;17;4
42;24324765;60;15;1
43;24341865;60;19;2
44;24358965;60;9;1
45;24371790;60;13;1
46;24387750;60;6;1
47;24413685;60;7;2
48;24395730;60;13;3
49;24406050;60;14;1
50;24417165;60;5;1
51;24449085;60;9;2
52;24441105;60;13;3
53;24490125;60;19;4
54;24479805;60;13;1
55;24460140;60;3;1
56;24464415;60;5;2
57;24496335;60;12;3
58;24485220;60;15;1
59;24543195;60;20;2
60;24557220;60;11;1
61;24589140;60;18;2
62;24607440;60;5;1
63;24594615;60;11;1
64;24624540;60;15;2
65;24643800;60;2;1
66;24646080;60;13;2
67;24650355;60;16;3
68;24641805;60;19;4
69;24658905;60;12;1
70;24680280;60;15;2
71;24693105;60;7;1
72;24710205;60;15;2
73;24705930;60;20;3
74;24821205;60;8;1
75;24837225;60;15;1
76;24837795;60;20;2
77;24833520;60;6;1
78;24835800;60;7;2
79;24843780;60;20;3
80;24852330;60;4;1
81;24868290;60;6;2
82;24886590;60;5;1
83;24903690;60;7;2
84;24912240;60;10;3
85;24928200;60;14;1
86;24944160;60;7;1
87;24951570;60;15;2
88;24973800;60;16;3
89;25048200;60;1;1
90;25056180;60;2;2
91;25070205;60;5;3
92;25067070;60;10;4
93;25071345;60;7;1
94;25079895;60;15;2
95;25094715;60;5;1
96;25038285;60;8;2
97;25027965;60;10;3
98;25042785;60;17;4
99;25079385;60;1;1
100;25097685;60;16;2
101;25079385;60;11;1
102;25103325;60;13;1
103;25107600;60;15;2
104;25074255;60;18;3
105;25082235;60;11;1
106;25043475;60;15;2
107;25051455;60;1;1
108;25047180;60;7;2
109;25028880;60;15;3
110;24990975;60;18;4
111;24976725;60;20;5
112;24940125;60;5;1
113;24944400;60;7;2
114;24935850;60;10;3
115;24927300;60;11;4
116;24931575;60;17;5
117;24939555;60;10;1
118;24932145;60;3;1
119;24929865;60;5;2
120;24925590;60;11;3
121;24968340;60;13;4
122;24984870;60;4;1
123;24992850;60;10;2
124;24984300;60;9;1
125;24997125;60;20;2
126;25018500;60;5;1
127;25037025;60;8;2
128;25066950;60;14;3
129;25067520;60;4;1
130;25076070;60;7;2
131;25105710;60;4;1
132;25097730;60;8;2
133;25080060;60;19;1
134;25084335;60;3;1
135;25119105;60;6;2
136;25116540;60;13;1
137;25142190;60;15;2
138;25150740;60;3;1
139;25190640;60;10;2
140;25186365;60;20;1
141;25182090;60;1;1
142;25186365;60;8;1
143;25202325;60;10;2
144;25194345;60;12;3
145;25198620;60;10;1
146;25211445;60;17;1
147;25202895;60;9;1
148;25218855;60;5;1
149;25346955;60;3;1
150;25342680;60;20;2
151;25355505;60;12;1
152;25372605;60;7;1
153;25376310;60;8;2
154;25372035;60;11;3
155;25380585;60;14;4
156;25411545;60;19;5
157;25450020;60;17;1
158;25461135;60;14;1
159;25489185;60;12;1
160;25491750;60;19;1
161;25523670;60;1;1
162;25540770;60;6;2
163;25582845;60;16;1
164;25591395;60;5;1
165;25604220;60;3;1
166;25652100;60;11;1
167;25660650;60;18;2
168;25636710;60;15;1
169;25632435;60;1;1
170;25602510;60;8;2
171;25610490;60;9;3
172;25578165;60;18;4
173;25604100;60;19;5
174;25580160;60;6;1
175;25588710;60;15;2
176;25570410;60;10;1
177;25579530;60;6;1
178;25542930;60;10;2
179;25524630;60;6;1
180;25519500;60;18;2
181;25513860;60;10;1
182;25508790;60;15;1
183;25504515;60;6;1
184;25518540;60;3;1
185;25501440;60;12;1
186;25494030;60;17;1
187;25476930;60;5;1
188;25472655;60;2;1
189;25476930;60;14;2
190;25496880;60;20;3
191;25488900;60;14;1
192;25507200;60;2;1
193;25518315;60;5;1
194;25522590;60;7;2
195;25556790;60;18;1
196;25561290;60;3;1
197;25593210;60;2;1
198;25597485;60;9;2
199;25610940;60;8;1
200;25627245;60;13;2
201;25630950;60;2;1
202;25669425;60;6;1
203;25677975;60;8;1
204;25692975;60;3;1
205;25707225;60;4;2
206;25724325;60;7;3
207;25728030;60;16;4
208;25753680;60;2;1
209;25729740;60;5;2
210;25701525;60;9;1
211;25704375;60;11;2
212;25701240;60;13;3
213;25685850;60;8;1
214;25677300;60;14;2
