algoritme,score,housecount,water,iteratie,score,,
Random,22952400,60,"[[155, 147, 335, 19]]",1,22952400,,
Random,22965045,60,"[[145, 308, 289, 148]]",2,22965045,,
Random,22994580,60,"[[80, 284, 200, 92]]",3,22994580,,
Random,23047260,60,"[[239, 248, 335, 8]]",4,23047260,,
Random,23059995,60,"[[158, 197, 350, 77]]",5,23059995,,
Random,23078115,60,"[[15, 250, 135, 58]]",6,23078115,,
Random,23081100,60,"[[230, 282, 326, 42]]",7,23081100,,
Random,23095350,60,"[[223, 308, 351, 128]]",8,23095350,,
Random,23095815,60,"[[115, 247, 259, 87]]",9,23095815,,
Random,23095890,60,"[[57, 314, 237, 186]]",10,23095890,,
Random,23102805,60,"[[49, 294, 127, 232], [228, 163, 318, 27], [78, 117, 169, 61], [325, 233, 356, 205]]",11,23102805,,
Random,23106060,60,"[[161, 244, 187, 226], [132, 152, 341, 44]]",12,23106060,,
Random,23107605,60,"[[133, 111, 233, 19], [111, 308, 146, 184], [23, 118, 118, 18]]",13,23107605,,
Random,23115735,60,"[[33, 227, 213, 99]]",14,23115735,,
Random,23126865,60,"[[141, 320, 230, 292], [52, 266, 129, 86], [129, 264, 170, 112], [316, 42, 335, 18]]",15,23126865,,
Random,23126880,60,"[[112, 245, 352, 149]]",16,23126880,,
Random,23132265,60,"[[167, 274, 257, 18]]",17,23132265,,
Random,23133000,60,"[[32, 249, 192, 105]]",18,23133000,,
Random,23134725,60,"[[19, 310, 171, 167], [319, 185, 349, 177], [304, 301, 323, 245]]",19,23134725,,
Random,23135895,60,"[[185, 317, 329, 157]]",20,23135895,,
Random,23136765,60,"[[202, 299, 330, 119]]",21,23136765,,
Random,23137995,60,"[[90, 248, 220, 80], [244, 75, 274, 35]]",22,23137995,,
Random,23139000,60,"[[101, 312, 316, 252], [199, 251, 329, 173]]",23,23139000,,
Random,23139885,60,"[[69, 222, 309, 126]]",24,23139885,,
Random,23144355,60,"[[13, 285, 193, 157]]",25,23144355,,
Random,23144520,60,"[[64, 302, 320, 212]]",26,23144520,,
Random,23145090,60,"[[71, 240, 117, 112], [133, 279, 261, 145]]",27,23145090,,
Random,23145795,60,"[[102, 301, 193, 133], [25, 169, 101, 67]]",28,23145795,,
Random,23147055,60,"[[76, 301, 268, 181]]",29,23147055,,
Random,23147505,60,"[[162, 250, 322, 106]]",30,23147505,,
Random,23150025,60,"[[286, 234, 308, 228], [93, 308, 205, 118], [246, 235, 283, 191]]",31,23150025,,
Random,23151705,60,"[[45, 239, 189, 79]]",32,23151705,,
Random,23151750,60,"[[143, 301, 271, 121]]",33,23151750,,
Random,23154105,60,"[[236, 304, 332, 64]]",34,23154105,,
Random,23154390,60,"[[200, 271, 229, 187], [51, 265, 200, 153], [27, 106, 71, 17]]",35,23154390,,
Random,23156280,60,"[[15, 138, 303, 58]]",36,23156280,,
Random,23157030,60,"[[17, 288, 145, 108]]",37,23157030,,
Random,23157720,60,"[[36, 303, 118, 39], [233, 320, 281, 291]]",38,23157720,,
Random,23158770,60,"[[64, 290, 143, 131], [199, 214, 232, 88], [71, 43, 206, 4], [250, 115, 283, 83]]",39,23158770,,
Random,23162775,60,"[[25, 267, 83, 51], [193, 147, 266, 3]]",40,23162775,,
Random,23164320,60,"[[130, 248, 250, 56]]",41,23164320,,
Random,23164545,60,"[[123, 282, 315, 162]]",42,23164545,,
Random,23169240,60,"[[193, 71, 322, 23], [85, 65, 167, 6], [237, 115, 310, 71], [104, 215, 187, 109]]",43,23169240,,
Random,23170335,60,"[[150, 315, 242, 207], [35, 240, 107, 58]]",44,23170335,,
Random,23170875,60,"[[288, 242, 320, 189], [169, 211, 237, 28], [27, 272, 107, 232], [0, 151, 150, 113]]",45,23170875,,
Random,23175510,60,"[[102, 254, 198, 14]]",46,23175510,,
Random,23176590,60,"[[116, 192, 356, 96]]",47,23176590,,
Random,23179560,60,"[[176, 277, 336, 133]]",48,23179560,,
