algoritme;score;housecount;water
Random;10000095;20;1
Random;10000305;20;1
Random;10000560;20;1
Random;10001265;20;1
Random;10002645;20;1
Random;10003200;20;1
Random;10003995;20;1
Random;10004085;20;1
Random;10004430;20;1
Random;10004565;20;1
Random;10004580;20;1
Random;10006140;20;1
Random;10006410;20;1
Random;10006875;20;1
Random;10007040;20;1
Random;10007100;20;1
Random;10007925;20;1
Random;10008060;20;1
Random;10009185;20;1
Random;10010355;20;1
Random;10010490;20;1
Random;10011180;20;1
Random;10011615;20;1
Random;10011915;20;1
Random;10012410;20;1
Random;10012500;20;1
Random;10013475;20;1
Random;10014285;20;1
Random;10014540;20;1
Random;10016460;20;1
Random;10016790;20;1
Random;10017885;20;1
Random;10018380;20;1
Random;10018935;20;1
Random;10019100;20;1
Random;10019790;20;1
Random;10020060;20;1
Random;10020075;20;1
Random;10020150;20;1
Random;10022160;20;1
Random;10022910;20;1
Random;10023240;20;1
Random;10024740;20;1
Random;10024815;20;1
Random;10025850;20;1
Random;10026180;20;1
Random;10026450;20;1
Random;10027545;20;1
Random;10028355;20;1
Random;10029675;20;1
Random;10029855;20;1
Random;10030740;20;1
Random;10030935;20;1
Random;10031745;20;1
Random;10032120;20;1
Random;10033020;20;1
Random;10034880;20;1
Random;10035180;20;1
Random;10035315;20;1
Random;10036020;20;1
Random;10036500;20;1
Random;10036575;20;1
Random;10037895;20;1
Random;10040100;20;1
Random;10040370;20;1
Random;10040985;20;1
Random;10041315;20;1
Random;10041660;20;1
Random;10043610;20;1
Random;10044795;20;1
Random;10045485;20;1
Random;10045545;20;1
Random;10047285;20;1
Random;10048125;20;1
Random;10048245;20;1
Random;10048560;20;1
Random;10048620;20;1
Random;10049205;20;1
Random;10049400;20;1
Random;10049430;20;1
Random;10050990;20;1
Random;10054290;20;1
Random;10054605;20;1
Random;10055535;20;1
Random;10055640;20;1
Random;10056105;20;1
Random;10056450;20;1
Random;10057440;20;1
Random;10060800;20;1
Random;10061700;20;1
Random;10061835;20;1
Random;10061850;20;1
Random;10061940;20;1
Random;10063005;20;1
Random;10063035;20;1
Random;10063050;20;1
Random;10063080;20;1
Random;10063095;20;1
Random;10063305;20;1
Random;10064175;20;1
Random;10066095;20;1
Random;10066455;20;1
Random;10067550;20;1
Random;10068555;20;1
Random;10068750;20;1
Random;10070190;20;1
Random;10071885;20;1
Random;10072005;20;1
Random;10073475;20;1
Random;10074045;20;1
Random;10074150;20;1
Random;10076295;20;1
Random;10078095;20;1
Random;10080345;20;1
Random;10080900;20;1
Random;10083540;20;1
Random;10083570;20;1
Random;10083675;20;1
Random;10083825;20;1
Random;10084785;20;1
Random;10084875;20;1
Random;10084995;20;1
Random;10086570;20;1
Random;10087980;20;1
Random;10088070;20;1
Random;10089300;20;1
Random;10089570;20;1
Random;10089975;20;1
Random;10090305;20;1
Random;10092300;20;1
Random;10093545;20;1
Random;10094205;20;1
Random;10095330;20;1
Random;10095540;20;1
Random;10096320;20;1
Random;10096560;20;1
Random;10097445;20;1
Random;10097610;20;1
Random;10100370;20;1
Random;10101630;20;1
Random;10102125;20;1
Random;10104525;20;1
Random;10105290;20;1
Random;10106685;20;1
Random;10106880;20;1
Random;10109310;20;1
Random;10110465;20;1
Random;10111785;20;1
Random;10112790;20;1
Random;10113945;20;1
Random;10114050;20;1
Random;10115265;20;1
Random;10119375;20;1
Random;10119555;20;1
Random;10121595;20;1
Random;10122900;20;1
Random;10125075;20;1
Random;10127940;20;1
Random;10128615;20;1
Random;10129155;20;1
Random;10129320;20;1
Random;10131690;20;1
Random;10134135;20;1
Random;10134660;20;1
Random;10138200;20;1
Random;10138245;20;1
Random;10139145;20;1
Random;10140660;20;1
Random;10140840;20;1
Random;10141440;20;1
Random;10142460;20;1
Random;10142595;20;1
Random;10144635;20;1
Random;10144875;20;1
Random;10145490;20;1
Random;10145715;20;1
Random;10145910;20;1
Random;10146750;20;1
Random;10147485;20;1
Random;10148025;20;1
Random;10148040;20;1
Random;10148400;20;1
Random;10149885;20;1
Random;10150080;20;1
Random;10153215;20;1
Random;10154190;20;1
Random;10155330;20;1
Random;10160805;20;1
Random;10164525;20;1
Random;10164915;20;1
Random;10166670;20;1
Random;10168035;20;1
Random;10168530;20;1
Random;10169595;20;1
Random;10173120;20;1
Random;10173615;20;1
Random;10176285;20;1
Random;10177995;20;1
Random;10178235;20;1
Random;10179180;20;1
Random;10181145;20;1
Random;10181430;20;1
Random;10181760;20;1
Random;10181925;20;1
Random;10182240;20;1
Random;10185135;20;1
Random;10187070;20;1
Random;10188945;20;1
Random;10189695;20;1
Random;10191180;20;1
Random;10191330;20;1
Random;10191990;20;1
Random;10196745;20;1
Random;10200135;20;1
Random;10202070;20;1
Random;10203375;20;1
Random;10204200;20;1
Random;10205625;20;1
Random;10206060;20;1
Random;10206660;20;1
Random;10207950;20;1
Random;10207965;20;1
Random;10208130;20;1
Random;10208940;20;1
Random;10209360;20;1
Random;10214445;20;1
Random;10214955;20;1
Random;10218705;20;1
Random;10219710;20;1
Random;10221060;20;1
Random;10221855;20;1
Random;10223340;20;1
Random;10223430;20;1
Random;10224135;20;1
Random;10224585;20;1
Random;10225635;20;1
Random;10230945;20;1
Random;10231455;20;1
Random;10232055;20;1
Random;10232775;20;1
Random;10236945;20;1
Random;10239330;20;1
Random;10240260;20;1
Random;10240305;20;1
Random;10241010;20;1
Random;10241835;20;1
Random;10241940;20;1
Random;10242300;20;1
Random;10243110;20;1
Random;10245945;20;1
Random;10247970;20;1
Random;10251090;20;1
Random;10251720;20;1
Random;10252335;20;1
Random;10254135;20;1
Random;10254915;20;1
Random;10256355;20;1
Random;10256445;20;1
Random;10256595;20;1
Random;10257105;20;1
Random;10257255;20;1
Random;10258350;20;1
Random;10260285;20;1
Random;10261785;20;1
Random;10263840;20;1
Random;10265085;20;1
Random;10265760;20;1
Random;10270305;20;1
Random;10273860;20;1
Random;10278960;20;1
Random;10279050;20;1
Random;10279215;20;1
Random;10280370;20;1
Random;10282020;20;1
Random;10287090;20;1
Random;10289265;20;1
Random;10289610;20;1
Random;10292505;20;1
Random;10295130;20;1
Random;10300455;20;1
Random;10304025;20;1
Random;10308090;20;1
Random;10308795;20;1
Random;10309170;20;1
Random;10311045;20;1
Random;10311810;20;1
Random;10315860;20;1
Random;10318110;20;1
Random;10320045;20;1
Random;10321485;20;1
Random;10325610;20;1
Random;10330380;20;1
Random;10335795;20;1
Random;10337220;20;1
