algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24055170.0,60,3,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24059445.0,60,7,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24091365.0,60,9,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24106185.0,60,13,4
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24123285.0,60,19,5
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24106185.0,60,9,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24095865.0,60,2,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24132465.0,60,6,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24223965.0,60,9,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24208005.0,60,10,4
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24241365.0,60,12,5
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24233385.0,60,20,6
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24229680.0,60,4,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24213720.0,60,5,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24179520.0,60,10,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24166695.0,60,7,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24205170.0,60,19,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24201465.0,60,7,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24231390.0,60,13,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24365130.0,60,17,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24341190.0,60,19,4
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24325230.0,60,4,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24349170.0,60,7,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24323520.0,60,9,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24336345.0,60,13,4
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24307275.0,60,4,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24315255.0,60,12,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24310980.0,60,18,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24302430.0,60,9,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,24323805.0,60,12,2
algoritme,score,housecount,climb,swaps
