algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18188820.0,40,1,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18188820.0,40,2,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18188820.0,40,3,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18210195.0,40,5,5
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18210195.0,40,6,6
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18210195.0,40,8,7
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18252945.0,40,9,9
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18252945.0,40,11,10
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18287145.0,40,12,12
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18265770.0,40,15,13
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18265770.0,40,16,14
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18221490.0,40,17,15
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18221490.0,40,18,16
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18221490.0,40,21,1
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18213510.0,40,22,2
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18213510.0,40,23,3
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18213510.0,40,24,4
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18213510.0,40,25,5
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18251985.0,40,26,7
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18251985.0,40,27,8
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18251985.0,40,28,9
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18251985.0,40,30,10
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18251985.0,40,31,11
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18243435.0,40,32,12
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18243435.0,40,33,13
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18243435.0,40,35,14
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18283335.0,40,37,16
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18274785.0,40,38,17
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18317535.0,40,39,19
algoritme,score,housecount,climb,swaps
SimulatedAnnealing,18317535.0,40,43,1
algoritme,score,housecount,climb,swaps
